Model: cnn, Batch_size: 16, Epochs: 10, Learning Rate: 0.01
Current device is cuda.
Epoch [1/10], Loss: 2.3095, Accuracy: 10.00%
Epoch [2/10], Loss: 2.3077, Accuracy: 10.00%
Epoch [3/10], Loss: 2.3098, Accuracy: 10.00%
Epoch [4/10], Loss: 2.3320, Accuracy: 10.00%
Epoch [5/10], Loss: 2.3136, Accuracy: 10.00%
Epoch [6/10], Loss: 2.2712, Accuracy: 20.14%
Epoch [7/10], Loss: 1.9356, Accuracy: 21.53%
Epoch [8/10], Loss: 1.7447, Accuracy: 43.40%
Epoch [9/10], Loss: 1.4874, Accuracy: 50.40%
Epoch [10/10], Loss: 1.3836, Accuracy: 53.19%
