Model: cnn, Batch_size: 64, Epochs: 40, Learning Rate: 0.001
Current device is cuda.
Epoch [1/40], Loss: 1.4906, Accuracy: 60.48%
Epoch [2/40], Loss: 1.1615, Accuracy: 63.83%
Epoch [3/40], Loss: 1.0384, Accuracy: 67.23%
Epoch [4/40], Loss: 0.9623, Accuracy: 70.57%
Epoch [5/40], Loss: 0.9080, Accuracy: 71.26%
Epoch [6/40], Loss: 0.8025, Accuracy: 73.39%
Epoch [7/40], Loss: 0.7818, Accuracy: 73.35%
Epoch [8/40], Loss: 0.7682, Accuracy: 73.51%
Epoch [9/40], Loss: 0.7578, Accuracy: 74.45%
Epoch [10/40], Loss: 0.7498, Accuracy: 74.17%
Epoch [11/40], Loss: 0.7342, Accuracy: 74.67%
Epoch [12/40], Loss: 0.7343, Accuracy: 74.64%
Epoch [13/40], Loss: 0.7328, Accuracy: 74.68%
Epoch [14/40], Loss: 0.7339, Accuracy: 74.67%
Epoch [15/40], Loss: 0.7303, Accuracy: 74.70%
Epoch [16/40], Loss: 0.7327, Accuracy: 74.70%
Epoch [17/40], Loss: 0.7290, Accuracy: 74.80%
Epoch [18/40], Loss: 0.7288, Accuracy: 74.78%
Epoch [19/40], Loss: 0.7261, Accuracy: 74.79%
Epoch [20/40], Loss: 0.7257, Accuracy: 74.79%
Epoch [21/40], Loss: 0.7275, Accuracy: 74.79%
Epoch [22/40], Loss: 0.7261, Accuracy: 74.78%
Epoch [23/40], Loss: 0.7271, Accuracy: 74.78%
Epoch [24/40], Loss: 0.7265, Accuracy: 74.79%
Epoch [25/40], Loss: 0.7295, Accuracy: 74.79%
Epoch [26/40], Loss: 0.7271, Accuracy: 74.79%
Epoch [27/40], Loss: 0.7311, Accuracy: 74.79%
Epoch [28/40], Loss: 0.7281, Accuracy: 74.79%
Epoch [29/40], Loss: 0.7279, Accuracy: 74.79%
Epoch [30/40], Loss: 0.7289, Accuracy: 74.80%
Epoch [31/40], Loss: 0.7310, Accuracy: 74.80%
Epoch [32/40], Loss: 0.7316, Accuracy: 74.80%
Epoch [33/40], Loss: 0.7296, Accuracy: 74.80%
Epoch [34/40], Loss: 0.7274, Accuracy: 74.80%
Epoch [35/40], Loss: 0.7303, Accuracy: 74.80%
Epoch [36/40], Loss: 0.7276, Accuracy: 74.80%
Epoch [37/40], Loss: 0.7296, Accuracy: 74.80%
Epoch [38/40], Loss: 0.7268, Accuracy: 74.80%
Epoch [39/40], Loss: 0.7270, Accuracy: 74.80%
Epoch [40/40], Loss: 0.7285, Accuracy: 74.80%
