Model: fcnn, Batch_size: 16, Epochs: 20, Learning Rate: 0.0001
Current device is cuda.
Epoch [1/20], Loss: 1.8528, Accuracy: 40.88%
Epoch [2/20], Loss: 1.6817, Accuracy: 43.75%
Epoch [3/20], Loss: 1.6107, Accuracy: 44.55%
Epoch [4/20], Loss: 1.5611, Accuracy: 44.58%
Epoch [5/20], Loss: 1.5280, Accuracy: 45.95%
Epoch [6/20], Loss: 1.4471, Accuracy: 48.99%
Epoch [7/20], Loss: 1.4187, Accuracy: 49.06%
Epoch [8/20], Loss: 1.4088, Accuracy: 49.76%
Epoch [9/20], Loss: 1.3929, Accuracy: 49.96%
Epoch [10/20], Loss: 1.3860, Accuracy: 50.05%
Epoch [11/20], Loss: 1.3748, Accuracy: 50.31%
Epoch [12/20], Loss: 1.3709, Accuracy: 50.29%
Epoch [13/20], Loss: 1.3665, Accuracy: 50.45%
Epoch [14/20], Loss: 1.3702, Accuracy: 50.45%
Epoch [15/20], Loss: 1.3684, Accuracy: 50.68%
Epoch [16/20], Loss: 1.3660, Accuracy: 50.70%
Epoch [17/20], Loss: 1.3655, Accuracy: 50.68%
Epoch [18/20], Loss: 1.3667, Accuracy: 50.66%
Epoch [19/20], Loss: 1.3665, Accuracy: 50.62%
Epoch [20/20], Loss: 1.3671, Accuracy: 50.63%
