Model: fcnn, Batch_size: 16, Epochs: 40, Learning Rate: 0.001
Current device is cuda.
Epoch [1/40], Loss: 2.0486, Accuracy: 23.54%
Epoch [2/40], Loss: 1.9979, Accuracy: 28.30%
Epoch [3/40], Loss: 1.9716, Accuracy: 28.14%
Epoch [4/40], Loss: 1.9743, Accuracy: 28.48%
Epoch [5/40], Loss: 1.9553, Accuracy: 31.91%
Epoch [6/40], Loss: 1.8287, Accuracy: 36.22%
Epoch [7/40], Loss: 1.7748, Accuracy: 38.26%
Epoch [8/40], Loss: 1.7352, Accuracy: 40.61%
Epoch [9/40], Loss: 1.7015, Accuracy: 40.65%
Epoch [10/40], Loss: 1.6638, Accuracy: 42.59%
Epoch [11/40], Loss: 1.6150, Accuracy: 43.40%
Epoch [12/40], Loss: 1.6024, Accuracy: 43.83%
Epoch [13/40], Loss: 1.5932, Accuracy: 44.04%
Epoch [14/40], Loss: 1.5855, Accuracy: 44.42%
Epoch [15/40], Loss: 1.5776, Accuracy: 44.82%
Epoch [16/40], Loss: 1.5661, Accuracy: 44.71%
Epoch [17/40], Loss: 1.5675, Accuracy: 44.77%
Epoch [18/40], Loss: 1.5615, Accuracy: 44.90%
Epoch [19/40], Loss: 1.5662, Accuracy: 44.97%
Epoch [20/40], Loss: 1.5614, Accuracy: 45.05%
Epoch [21/40], Loss: 1.5612, Accuracy: 45.05%
Epoch [22/40], Loss: 1.5627, Accuracy: 45.04%
Epoch [23/40], Loss: 1.5624, Accuracy: 45.05%
Epoch [24/40], Loss: 1.5580, Accuracy: 45.02%
Epoch [25/40], Loss: 1.5619, Accuracy: 45.05%
Epoch [26/40], Loss: 1.5583, Accuracy: 45.05%
Epoch [27/40], Loss: 1.5561, Accuracy: 45.05%
Epoch [28/40], Loss: 1.5593, Accuracy: 45.05%
Epoch [29/40], Loss: 1.5616, Accuracy: 45.05%
Epoch [30/40], Loss: 1.5595, Accuracy: 45.04%
Epoch [31/40], Loss: 1.5581, Accuracy: 45.04%
Epoch [32/40], Loss: 1.5584, Accuracy: 45.04%
Epoch [33/40], Loss: 1.5594, Accuracy: 45.04%
Epoch [34/40], Loss: 1.5613, Accuracy: 45.04%
Epoch [35/40], Loss: 1.5608, Accuracy: 45.04%
Epoch [36/40], Loss: 1.5590, Accuracy: 45.04%
Epoch [37/40], Loss: 1.5627, Accuracy: 45.04%
Epoch [38/40], Loss: 1.5631, Accuracy: 45.04%
Epoch [39/40], Loss: 1.5600, Accuracy: 45.04%
Epoch [40/40], Loss: 1.5597, Accuracy: 45.04%
