Model: cnn, Batch_size: 16, Epochs: 20, Learning Rate: 0.0001
Current device is cuda.
Epoch [1/20], Loss: 1.6397, Accuracy: 53.24%
Epoch [2/20], Loss: 1.3634, Accuracy: 57.36%
Epoch [3/20], Loss: 1.2503, Accuracy: 60.88%
Epoch [4/20], Loss: 1.1741, Accuracy: 63.56%
Epoch [5/20], Loss: 1.1149, Accuracy: 65.70%
Epoch [6/20], Loss: 1.0449, Accuracy: 66.48%
Epoch [7/20], Loss: 1.0341, Accuracy: 66.95%
Epoch [8/20], Loss: 1.0304, Accuracy: 67.18%
Epoch [9/20], Loss: 1.0211, Accuracy: 67.41%
Epoch [10/20], Loss: 1.0171, Accuracy: 67.18%
Epoch [11/20], Loss: 1.0080, Accuracy: 67.54%
Epoch [12/20], Loss: 1.0109, Accuracy: 67.62%
Epoch [13/20], Loss: 1.0061, Accuracy: 67.40%
Epoch [14/20], Loss: 1.0075, Accuracy: 67.51%
Epoch [15/20], Loss: 1.0066, Accuracy: 67.62%
Epoch [16/20], Loss: 1.0009, Accuracy: 67.70%
Epoch [17/20], Loss: 1.0050, Accuracy: 67.66%
Epoch [18/20], Loss: 1.0047, Accuracy: 67.61%
Epoch [19/20], Loss: 1.0042, Accuracy: 67.61%
Epoch [20/20], Loss: 1.0037, Accuracy: 67.57%
