Model: cnn, Batch_size: 16, Epochs: 20, Learning Rate: 0.001
Current device is cuda.
Epoch [1/20], Loss: 1.4705, Accuracy: 58.65%
Epoch [2/20], Loss: 1.1686, Accuracy: 64.60%
Epoch [3/20], Loss: 1.0635, Accuracy: 65.67%
Epoch [4/20], Loss: 0.9935, Accuracy: 68.56%
Epoch [5/20], Loss: 0.9613, Accuracy: 70.48%
Epoch [6/20], Loss: 0.8330, Accuracy: 73.08%
Epoch [7/20], Loss: 0.8076, Accuracy: 73.76%
Epoch [8/20], Loss: 0.7941, Accuracy: 73.73%
Epoch [9/20], Loss: 0.7765, Accuracy: 74.05%
Epoch [10/20], Loss: 0.7683, Accuracy: 74.51%
Epoch [11/20], Loss: 0.7508, Accuracy: 74.79%
Epoch [12/20], Loss: 0.7488, Accuracy: 74.64%
Epoch [13/20], Loss: 0.7447, Accuracy: 74.96%
Epoch [14/20], Loss: 0.7437, Accuracy: 75.09%
Epoch [15/20], Loss: 0.7441, Accuracy: 75.04%
Epoch [16/20], Loss: 0.7476, Accuracy: 75.02%
Epoch [17/20], Loss: 0.7405, Accuracy: 75.13%
Epoch [18/20], Loss: 0.7413, Accuracy: 75.08%
Epoch [19/20], Loss: 0.7383, Accuracy: 75.13%
Epoch [20/20], Loss: 0.7389, Accuracy: 75.18%
