Model: cnn, Batch_size: 16, Epochs: 20, Learning Rate: 0.0003
Current device is cuda.
Epoch [1/20], Loss: 1.4999, Accuracy: 58.34%
Epoch [2/20], Loss: 1.1756, Accuracy: 65.25%
Epoch [3/20], Loss: 1.0529, Accuracy: 66.17%
Epoch [4/20], Loss: 0.9801, Accuracy: 69.38%
Epoch [5/20], Loss: 0.9261, Accuracy: 70.27%
Epoch [6/20], Loss: 0.8246, Accuracy: 73.02%
Epoch [7/20], Loss: 0.8118, Accuracy: 73.28%
Epoch [8/20], Loss: 0.7989, Accuracy: 73.55%
Epoch [9/20], Loss: 0.7894, Accuracy: 73.61%
Epoch [10/20], Loss: 0.7845, Accuracy: 73.98%
Epoch [11/20], Loss: 0.7742, Accuracy: 73.99%
Epoch [12/20], Loss: 0.7713, Accuracy: 74.13%
Epoch [13/20], Loss: 0.7720, Accuracy: 74.08%
Epoch [14/20], Loss: 0.7710, Accuracy: 74.13%
Epoch [15/20], Loss: 0.7723, Accuracy: 74.09%
Epoch [16/20], Loss: 0.7657, Accuracy: 74.03%
Epoch [17/20], Loss: 0.7722, Accuracy: 74.07%
Epoch [18/20], Loss: 0.7708, Accuracy: 74.11%
Epoch [19/20], Loss: 0.7689, Accuracy: 74.09%
Epoch [20/20], Loss: 0.7694, Accuracy: 74.05%
