Model: fcnn, Batch_size: 32, Epochs: 20, Learning Rate: 0.0003
Current device is cuda.
Epoch [1/20], Loss: 1.8798, Accuracy: 36.46%
Epoch [2/20], Loss: 1.7223, Accuracy: 40.03%
Epoch [3/20], Loss: 1.6547, Accuracy: 43.46%
Epoch [4/20], Loss: 1.6131, Accuracy: 42.88%
Epoch [5/20], Loss: 1.5883, Accuracy: 44.77%
Epoch [6/20], Loss: 1.4957, Accuracy: 47.77%
Epoch [7/20], Loss: 1.4604, Accuracy: 48.47%
Epoch [8/20], Loss: 1.4399, Accuracy: 47.96%
Epoch [9/20], Loss: 1.4262, Accuracy: 48.77%
Epoch [10/20], Loss: 1.4169, Accuracy: 49.62%
Epoch [11/20], Loss: 1.4035, Accuracy: 50.13%
Epoch [12/20], Loss: 1.3984, Accuracy: 49.90%
Epoch [13/20], Loss: 1.3974, Accuracy: 49.98%
Epoch [14/20], Loss: 1.3945, Accuracy: 50.01%
Epoch [15/20], Loss: 1.3985, Accuracy: 50.14%
Epoch [16/20], Loss: 1.3957, Accuracy: 50.19%
Epoch [17/20], Loss: 1.3912, Accuracy: 50.20%
Epoch [18/20], Loss: 1.3918, Accuracy: 50.18%
Epoch [19/20], Loss: 1.3935, Accuracy: 50.21%
Epoch [20/20], Loss: 1.3918, Accuracy: 50.24%
