Model: cnn2, Batch_size: 16, Epochs: 20, Learning Rate: 0.003
Current device is cuda.
Epoch [1/20], Loss: 1.6471, Accuracy: 49.62%
Epoch [2/20], Loss: 1.4120, Accuracy: 52.98%
Epoch [3/20], Loss: 1.3117, Accuracy: 57.10%
Epoch [4/20], Loss: 1.2541, Accuracy: 59.96%
Epoch [5/20], Loss: 1.2162, Accuracy: 60.03%
Epoch [6/20], Loss: 1.0453, Accuracy: 66.20%
Epoch [7/20], Loss: 1.0111, Accuracy: 67.74%
Epoch [8/20], Loss: 0.9826, Accuracy: 68.15%
Epoch [9/20], Loss: 0.9591, Accuracy: 68.72%
Epoch [10/20], Loss: 0.9411, Accuracy: 69.16%
Epoch [11/20], Loss: 0.9087, Accuracy: 69.87%
Epoch [12/20], Loss: 0.9002, Accuracy: 70.10%
Epoch [13/20], Loss: 0.8936, Accuracy: 70.27%
Epoch [14/20], Loss: 0.8958, Accuracy: 70.43%
Epoch [15/20], Loss: 0.8926, Accuracy: 70.51%
Epoch [16/20], Loss: 0.8898, Accuracy: 70.49%
Epoch [17/20], Loss: 0.8883, Accuracy: 70.42%
Epoch [18/20], Loss: 0.8875, Accuracy: 70.42%
Epoch [19/20], Loss: 0.8840, Accuracy: 70.54%
Epoch [20/20], Loss: 0.8812, Accuracy: 70.53%
