Model: fcnn, Batch_size: 16, Epochs: 20, Learning Rate: 0.0003
Current device is cuda.
Epoch [1/20], Loss: 1.8976, Accuracy: 36.88%
Epoch [2/20], Loss: 1.7476, Accuracy: 40.65%
Epoch [3/20], Loss: 1.6900, Accuracy: 40.68%
Epoch [4/20], Loss: 1.6580, Accuracy: 41.50%
Epoch [5/20], Loss: 1.6287, Accuracy: 42.38%
Epoch [6/20], Loss: 1.5281, Accuracy: 47.21%
Epoch [7/20], Loss: 1.4916, Accuracy: 47.90%
Epoch [8/20], Loss: 1.4723, Accuracy: 48.57%
Epoch [9/20], Loss: 1.4507, Accuracy: 49.66%
Epoch [10/20], Loss: 1.4439, Accuracy: 49.30%
Epoch [11/20], Loss: 1.4268, Accuracy: 49.99%
Epoch [12/20], Loss: 1.4175, Accuracy: 49.78%
Epoch [13/20], Loss: 1.4148, Accuracy: 49.85%
Epoch [14/20], Loss: 1.4164, Accuracy: 49.92%
Epoch [15/20], Loss: 1.4107, Accuracy: 50.02%
Epoch [16/20], Loss: 1.4113, Accuracy: 50.07%
Epoch [17/20], Loss: 1.4086, Accuracy: 50.12%
Epoch [18/20], Loss: 1.4164, Accuracy: 50.09%
Epoch [19/20], Loss: 1.4081, Accuracy: 49.97%
Epoch [20/20], Loss: 1.4123, Accuracy: 50.05%
